req_turning,req_milling,plan,req_sheet_metal,req_sheet_metal_inserts,one_manufacturer,num_distinct_parts_binned,separator,manufacturer_name,post_id_manuf,predBidProb
0,1,standard,1,1,0,[4-11),,P.D.R ELECTRONICS,2184,0.216613535825947
0,1,standard,1,1,0,[4-11),,YDC METAL,20224,0.16362111795461193
0,1,standard,1,1,0,[1-4),,Metalif Inc.,15228,0.5878489839691152
0,1,standard,1,1,0,[1-4),,Hongding Photoelectric Technology,5314,0.44959983329613634
0,1,standard,1,1,0,[1-4),,Zahavi steel ltd.,788,0.4481658603750614
0,1,standard,1,1,0,[1-4),,P.D.R ELECTRONICS,2184,0.2119744357247357
0,1,standard,1,1,0,[1-4),,FGM TEKNİK,15212,0.18189452011125906
0,1,standard,1,1,0,>=20,,Metalif Inc.,15228,0.7366237693211481
0,1,standard,1,1,0,>=20,,Hongding Photoelectric Technology,5314,0.4226727768996321
0,1,standard,1,1,0,>=20,,P.D.R ELECTRONICS,2184,0.28523151465951674
0,1,standard,1,1,0,>=20,,Zahavi steel ltd.,788,0.21805501343482248
0,1,standard,1,1,0,>=20,,FGM TEKNİK,15212,0.13008698001344293
0,1,standard,1,1,0,[11-20),,Metalif Inc.,15228,0.5924650938068803
0,1,standard,1,1,0,[11-20),,Hongding Photoelectric Technology,5314,0.3771758414692137
0,1,standard,1,1,0,[11-20),,P.D.R ELECTRONICS,2184,0.3149046083657855
0,1,standard,1,1,0,[11-20),,Zahavi steel ltd.,788,0.2848511061794036
0,1,standard,1,1,0,[11-20),,GS ELECTRONIC PACKAGING,7490,0.19944924733196595
0,1,standard,1,1,1,[4-11),,Metalif Inc.,15228,0.6877377642161739
0,1,standard,1,1,1,[4-11),,Zahavi steel ltd.,788,0.4455201929034885
0,1,standard,1,1,1,[4-11),,Hongding Photoelectric Technology,5314,0.35686536914124467
0,1,standard,1,1,1,[4-11),,P.D.R ELECTRONICS,2184,0.3342112889127889
0,1,standard,1,1,1,[4-11),,4MODEL,44404,0.1651809225127225
0,1,standard,1,1,1,[1-4),,Metalif Inc.,15228,0.6710826177034265
0,1,standard,1,1,1,[1-4),,Zahavi steel ltd.,788,0.6550669212610414
0,1,standard,1,1,1,[1-4),,P.D.R ELECTRONICS,2184,0.32810850341391945
0,1,standard,1,1,1,[1-4),,Hongding Photoelectric Technology,5314,0.3047270135181815
0,1,standard,1,1,1,[1-4),,"א.ל. כרסומטל זיווד בע""מ",19928,0.21239907090760532
0,1,standard,1,1,1,>=20,,Metalif Inc.,15228,0.8000327598373002
0,1,standard,1,1,1,>=20,,P.D.R ELECTRONICS,2184,0.4201043189826188
0,1,standard,1,1,1,>=20,,Zahavi steel ltd.,788,0.3947077255281484
0,1,standard,1,1,1,>=20,,Hongding Photoelectric Technology,5314,0.2820305807536717
0,1,standard,1,1,1,>=20,,Aloni engineering,4753,0.20872322535128776
0,1,standard,1,1,1,[11-20),,Metalif Inc.,15228,0.6752814510420153
0,1,standard,1,1,1,[11-20),,Zahavi steel ltd.,788,0.4822442102780952
0,1,standard,1,1,1,[11-20),,P.D.R ELECTRONICS,2184,0.45487908867450383
0,1,standard,1,1,1,[11-20),,Hongding Photoelectric Technology,5314,0.24524170520514885
0,1,standard,1,1,1,[11-20),,GS ELECTRONIC PACKAGING,7490,0.145443771927792
0,1,standard,0,0,0,[4-11),,FGM TEKNİK,15212,0.4089800666945406
0,1,standard,0,0,0,[4-11),,Hongding Photoelectric Technology,5314,0.38613863215664285
0,1,standard,0,0,0,[4-11),,Aloni engineering,4753,0.23766948127186122
0,1,standard,0,0,0,[4-11),,P.D.R ELECTRONICS,2184,0.1995763161746028
0,1,standard,0,0,0,[4-11),,Metalif Inc.,15228,0.18092989178218907
0,1,standard,0,0,0,[1-4),,FGM TEKNİK,15212,0.4472507262915974
0,1,standard,0,0,0,[1-4),,Hongding Photoelectric Technology,5314,0.33193076837714575
0,1,standard,0,0,0,[1-4),,Aloni engineering,4753,0.23636096928618444
0,1,standard,0,0,0,[1-4),,YAAF,5011,0.19989017649327134
0,1,standard,0,0,0,[1-4),,P.D.R ELECTRONICS,2184,0.1952111700379965
0,1,standard,0,0,0,>=20,,Aloni engineering,4753,0.41345405281417624
0,1,standard,0,0,0,>=20,,FGM TEKNİK,15212,0.3524218084498671
0,1,standard,0,0,0,>=20,,Hongding Photoelectric Technology,5314,0.3081060516758098
0,1,standard,0,0,0,>=20,,Metalif Inc.,15228,0.2863607472853926
0,1,standard,0,0,0,>=20,,P.D.R ELECTRONICS,2184,0.2646203605749194
0,1,standard,0,0,0,[11-20),,FGM TEKNİK,15212,0.4235195698318048
0,1,standard,0,0,0,[11-20),,YAAF,5011,0.3556826992357615
0,1,standard,0,0,0,[11-20),,P.D.R ELECTRONICS,2184,0.29302828910388184
0,1,standard,0,0,0,[11-20),,Hongding Photoelectric Technology,5314,0.2691911020521622
0,1,standard,0,0,0,[11-20),,Aloni engineering,4753,0.25109075321584584
0,1,standard,0,0,1,[4-11),,Aloni engineering,4753,0.47046339590015984
0,1,standard,0,0,1,[4-11),,P.D.R ELECTRONICS,2184,0.3116037755843595
0,1,standard,0,0,1,[4-11),,FGM TEKNİK,15212,0.2852772758529557
0,1,standard,0,0,1,[4-11),,Hongding Photoelectric Technology,5314,0.25233957136931895
0,1,standard,0,0,1,[4-11),,Metalif Inc.,15228,0.24011398944070966
0,1,standard,0,0,1,[1-4),,Aloni engineering,4753,0.4686611519432813
0,1,standard,0,0,1,[1-4),,FGM TEKNİK,15212,0.31820463123163895
0,1,standard,0,0,1,[1-4),,P.D.R ELECTRONICS,2184,0.3057242463331431
0,1,standard,0,0,1,[1-4),,Metalif Inc.,15228,0.22643823740930305
0,1,standard,0,0,1,[1-4),,Hongding Photoelectric Technology,5314,0.21047477941498668
0,1,standard,0,0,1,>=20,,Aloni engineering,4753,0.6676355845268059
0,1,standard,0,0,1,>=20,,P.D.R ELECTRONICS,2184,0.39513487378696777
0,1,standard,0,0,1,>=20,,Metalif Inc.,15228,0.36467738912438236
0,1,standard,0,0,1,>=20,,FGM TEKNİK,15212,0.23891076356261304
0,1,standard,0,0,1,>=20,,Hongding Photoelectric Technology,5314,0.1928511896103566
0,1,standard,0,0,1,[11-20),,Aloni engineering,4753,0.4886049070717043
0,1,standard,0,0,1,[11-20),,P.D.R ELECTRONICS,2184,0.42937314603356513
0,1,standard,0,0,1,[11-20),,FGM TEKNİK,15212,0.29763372494375817
0,1,standard,0,0,1,[11-20),,Metalif Inc.,15228,0.22979870383032405
0,1,standard,0,0,1,[11-20),,YAAF,5011,0.22266267563970157
0,1,standard,0,1,0,[4-11),,Hongding Photoelectric Technology,5314,0.38388037426931043
0,1,standard,0,1,0,[4-11),,Metalif Inc.,15228,0.31181442615909394
0,1,standard,0,1,0,[4-11),,FGM TEKNİK,15212,0.2884828111131538
0,1,standard,0,1,0,[4-11),,P.D.R ELECTRONICS,2184,0.2606707234604334
0,1,standard,0,1,0,[4-11),,Aloni engineering,4753,0.10184612118225145
0,1,standard,0,1,0,[1-4),,Hongding Photoelectric Technology,5314,0.3298192020364564
0,1,standard,0,1,0,[1-4),,FGM TEKNİK,15212,0.3216136670899813
0,1,standard,0,1,0,[1-4),,Metalif Inc.,15228,0.2956437821420216
0,1,standard,0,1,0,[1-4),,P.D.R ELECTRONICS,2184,0.255395684742317
0,1,standard,0,1,0,[1-4),,Zahavi steel ltd.,788,0.16744676274917014
0,1,standard,0,1,0,>=20,,Metalif Inc.,15228,0.45147435544666004
0,1,standard,0,1,0,>=20,,P.D.R ELECTRONICS,2184,0.33723698719667666
0,1,standard,0,1,0,>=20,,Hongding Photoelectric Technology,5314,0.30607660803423725
0,1,standard,0,1,0,>=20,,FGM TEKNİK,15212,0.24177153908914334
0,1,standard,0,1,0,>=20,,Aloni engineering,4753,0.20406422430923224
0,1,standard,0,1,0,[11-20),,P.D.R ELECTRONICS,2184,0.36952330464832484
0,1,standard,0,1,0,[11-20),,FGM TEKNİK,15212,0.30091964671683086
0,1,standard,0,1,0,[11-20),,Metalif Inc.,15228,0.2996334769704044
0,1,standard,0,1,0,[11-20),,Hongding Photoelectric Technology,5314,0.26731895094958324
0,1,standard,0,1,0,[11-20),,YAAF,5011,0.19681458893164974
0,1,standard,0,1,1,[4-11),,Metalif Inc.,15228,0.39325629670500967
0,1,standard,0,1,1,[4-11),,P.D.R ELECTRONICS,2184,0.3902710457198088
0,1,standard,0,1,1,[4-11),,Hongding Photoelectric Technology,5314,0.2505444389652193
0,1,standard,0,1,1,[4-11),,Aloni engineering,4753,0.2442232526201663
0,1,standard,0,1,1,[4-11),,FGM TEKNİK,15212,0.18953817114281338
0,1,standard,0,1,1,[1-4),,P.D.R ELECTRONICS,2184,0.3837345953795713
0,1,standard,0,1,1,[1-4),,Metalif Inc.,15228,0.3751645668418054
0,1,standard,0,1,1,[1-4),,Zahavi steel ltd.,788,0.3198718947357439
0,1,standard,0,1,1,[1-4),,Aloni engineering,4753,0.24289015462980795
0,1,standard,0,1,1,[1-4),,FGM TEKNİK,15212,0.21473514986514047
0,1,standard,0,1,1,>=20,,Metalif Inc.,15228,0.5407320187825347
0,1,standard,0,1,1,>=20,,P.D.R ELECTRONICS,2184,0.48018058327659313
0,1,standard,0,1,1,>=20,,Aloni engineering,4753,0.42217073334426297
0,1,standard,0,1,1,>=20,,Hongding Photoelectric Technology,5314,0.1913709333399868
0,1,standard,0,1,1,>=20,,FGM TEKNİK,15212,0.15535005961293974
0,1,standard,0,1,1,[11-20),,P.D.R ELECTRONICS,2184,0.5155075145920107
0,1,standard,0,1,1,[11-20),,Metalif Inc.,15228,0.3796489722658303
0,1,standard,0,1,1,[11-20),,Aloni engineering,4753,0.25788941887762895
0,1,standard,0,1,1,[11-20),,FGM TEKNİK,15212,0.19890182356103694
0,1,standard,0,1,1,[11-20),,Zahavi steel ltd.,788,0.18742939457666563
0,1,urgent,1,0,0,[4-11),,Zahavi steel ltd.,788,0.5413143091508892
0,1,urgent,1,0,0,[4-11),,Hongding Photoelectric Technology,5314,0.25760645945735305
0,1,urgent,1,0,0,[4-11),,M.ash presicion mechanics,770,0.21895056854420447
